COMECANDO LOG DA INSTÂNCIA 7.txt
Requisicao 180 | Sensor Sensor(35) | 1 caminhos testados | Caminho selecionado: [Sensor(35), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 181 | Sensor Sensor(16) | 1 caminhos testados | Caminho selecionado: [Sensor(16), FogNode(10)] | Nó selecionado: FogNode(10)
Requisicao 182 | Sensor Sensor(56) | 1 caminhos testados | Caminho selecionado: [Sensor(56), FogNode(29)] | Nó selecionado: FogNode(29)
Requisicao 183 | Sensor Sensor(25) | 1 caminhos testados | Caminho selecionado: [Sensor(25), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 184 | Sensor Sensor(9) | 1 caminhos testados | Caminho selecionado: [Sensor(9), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 185 | Sensor Sensor(9) | 1 caminhos testados | Caminho selecionado: [Sensor(9), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 186 | Sensor Sensor(4) | 1 caminhos testados | Caminho selecionado: [Sensor(4), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 187 | Sensor Sensor(1) | 1 caminhos testados | Caminho selecionado: [Sensor(1), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 188 | Sensor Sensor(10) | 1 caminhos testados | Caminho selecionado: [Sensor(10), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 189 | Sensor Sensor(10) | 1 caminhos testados | Caminho selecionado: [Sensor(10), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 190 | Sensor Sensor(17) | 1 caminhos testados | Caminho selecionado: [Sensor(17), FogNode(10)] | Nó selecionado: FogNode(10)
